Graph
Time (Seconds),x (Meters),y (Meters),z (Meters)
0.000000,0.067588,0.000125,0.009806
0.050000,0.070020,0.001083,0.009356
0.100000,0.073008,0.002160,0.004830
0.150000,0.075722,0.003302,0.004836
0.200000,0.078468,0.004341,0.004836
0.250000,0.079837,0.004924,0.004823
0.300000,0.081172,0.005432,0.004823
0.350000,0.082405,0.005875,0.004833
0.400000,0.083848,0.006485,0.004836
0.450000,0.085218,0.007119,0.004835
0.500000,0.086454,0.007667,0.004830
0.550000,0.087836,0.008214,0.004827
0.600000,0.089086,0.008733,0.004823
0.650000,0.090420,0.009230,0.004831
0.700000,0.091773,0.009856,0.004833
0.750000,0.093075,0.010511,0.004824
0.800000,0.094340,0.011042,0.004820
0.850000,0.095692,0.011815,0.004827
0.900000,0.097087,0.012511,0.004826
0.950000,0.098383,0.013170,0.004827
1.000000,0.099660,0.013745,0.004827
1.050000,0.100937,0.014343,0.004829
1.100000,0.102276,0.014988,0.004833
1.150000,0.103529,0.015645,0.004819
1.200000,0.104945,0.016374,0.004831
1.250000,0.106134,0.016949,0.004827
1.300000,0.107375,0.017698,0.004821
1.350000,0.108655,0.018240,0.004820
1.400000,0.109973,0.018979,0.004832
1.450000,0.111236,0.019580,0.004829
1.500000,0.112460,0.020258,0.004827
1.550000,0.113813,0.021035,0.004833
1.600000,0.115026,0.021761,0.004828
1.650000,0.116301,0.022529,0.004821
1.700000,0.117504,0.023206,0.004828
1.750000,0.118785,0.023895,0.004824
1.800000,0.119958,0.024526,0.004825
1.850000,0.121231,0.025298,0.004819
1.900000,0.122502,0.026031,0.004819
1.950000,0.123740,0.026736,0.004832
2.000000,0.124926,0.027414,0.004816
2.050000,0.126128,0.028114,0.004832
2.100000,0.127391,0.028835,0.004827
2.150000,0.128556,0.029517,0.004829
2.200000,0.129862,0.030419,0.004833
2.250000,0.130915,0.031063,0.004825
2.300000,0.132051,0.031733,0.004814
2.350000,0.133237,0.032469,0.004813
2.400000,0.134432,0.033231,0.004812
2.450000,0.135619,0.033978,0.004812
2.500000,0.136814,0.034753,0.004812
2.550000,0.138153,0.035616,0.004831
2.600000,0.139315,0.036335,0.004822
2.650000,0.140435,0.037146,0.004826
2.700000,0.141477,0.037967,0.004816
2.750000,0.142776,0.038767,0.004834
2.800000,0.143893,0.039468,0.004822
2.850000,0.145048,0.040333,0.004816
2.900000,0.146291,0.041148,0.004831
2.950000,0.147471,0.042127,0.004831
3.000000,0.148603,0.042872,0.004824
3.050000,0.149735,0.043751,0.004830
3.100000,0.150936,0.044611,0.004830
3.150000,0.152034,0.045510,0.004828
3.200000,0.153225,0.046405,0.004833
3.250000,0.154346,0.047320,0.004830
3.300000,0.155451,0.048245,0.004821
3.350000,0.156516,0.049006,0.004823
3.400000,0.157637,0.049919,0.004831
3.450000,0.158794,0.050853,0.004828
3.500000,0.159893,0.051738,0.004827
3.550000,0.161056,0.052625,0.004834
3.600000,0.162079,0.053434,0.004829
3.650000,0.163188,0.054355,0.004824
3.700000,0.164301,0.055208,0.004830
3.750000,0.165433,0.056118,0.004830
3.800000,0.166557,0.056999,0.004831
3.850000,0.167600,0.057843,0.004820
3.900000,0.168825,0.058973,0.004833
3.950000,0.169822,0.059964,0.004829
4.000000,0.170901,0.060910,0.004824
4.050000,0.171932,0.061764,0.004824
4.100000,0.173079,0.062867,0.004834
4.150000,0.174074,0.063800,0.004828
4.200000,0.175069,0.064747,0.004817
4.250000,0.176196,0.065871,0.004830
4.300000,0.177147,0.066848,0.004821
4.350000,0.178216,0.067890,0.004825
4.400000,0.179271,0.068872,0.004821
4.450000,0.180395,0.070006,0.004833
4.500000,0.181293,0.070900,0.004821
4.550000,0.182360,0.071955,0.004830
4.600000,0.183371,0.073046,0.004831
4.650000,0.184384,0.074059,0.004825
